ext_gene,flybase_gene_id,frequency_FC0.5_wake,frequency_FC1_wake,qualifies_FC0.5_4plus,qualifies_FC1_4plus,qualifying_thresholds,source_files,is_cycling_FC0.5_wake,ZT_cyclers_FC0.5_wake,sleep_corr_exps_FC0.5_wake,wake_corr_exps_FC0.5_wake,Baseline_FC0.5_wake,MechSD3_FC0.5_wake,MechSD6_FC0.5_wake,MechSD12_FC0.5_wake,R85C10>TrpA1_FC0.5_wake,R23E10>ChR_FC0.5_wake,THIP_FC0.5_wake,is_cycling_FC1_wake,ZT_cyclers_FC1_wake,sleep_corr_exps_FC1_wake,wake_corr_exps_FC1_wake,Baseline_FC1_wake,MechSD3_FC1_wake,MechSD6_FC1_wake,MechSD12_FC1_wake,R85C10>TrpA1_FC1_wake,R23E10>ChR_FC1_wake,THIP_FC1_wake
RpL39,FBgn0023170,5,4,TRUE,TRUE,FC0.5;FC1,FC0.5_Wake_frequency_5_n=14genes.csv;FC1_Wake_frequency_4_n=7genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12,
THIP","Peak=20, log2b=1.361",1.02,1.483,1.035,qval=0.9233,0.406,0.949,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.361",1.02,1.483,1.035,qval=0.9233,0.406,0.949
RpL41,FBgn0066084,5,4,TRUE,TRUE,FC0.5;FC1,FC0.5_Wake_frequency_5_n=14genes.csv;FC1_Wake_frequency_4_n=7genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12,
THIP","Peak=20, log2b=1.676",1.153,1.553,1.085,qval=0.8516,qval=0.0872,0.843,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.676",1.153,1.553,1.085,qval=0.8516,qval=0.0872,0.843
RpLP2,FBgn0003274,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
THIP","Peak=20, log2b=1.55, qval=0.5112",1.033,1.298,0.782,qval=0.3805,qval=0.0596,0.805,,,,,,,,,,,
RpS15,FBgn0034138,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
THIP","Peak=20, log2b=0.72",0.581,0.795,0.468,qval=0.6598,qval=0.0785,0.596,,,,,,,,,,,
RpS16,FBgn0034743,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
R23E10>ChR,
THIP","Peak=20, log2b=0.878, qval=0.1844",0.617,0.798,0.481,qval=0.611,0.517,0.631,,,,,,,,,,,
RpS18,FBgn0010411,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR","Peak=20, log2b=1.01, qval=0.5995",0.631,0.872,0.569,qval=0.6181,0.539,qval=0.0825,,,,,,,,,,,
RpS19a,FBgn0010412,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.122",0.786,1.144,0.7,qval=0.6546,qval=0.1019,qval=0.0624,,,,,,,,,,,
RpS20,FBgn0019936,5,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_5_n=14genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12,
THIP","Peak=20, log2b=0.892",0.594,1.002,0.578,qval=0.5103,qval=0.3134,0.655,,,,,,,,,,,
RpS21,FBgn0015521,5,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_5_n=14genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12,
THIP","Peak=20, log2b=1.127",0.963,1.313,0.824,qval=0.7196,qval=0.0675,0.735,,,,,,,,,,,
RpS27,FBgn0039300,5,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_5_n=14genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12,
THIP","Peak=20, log2b=0.905",0.628,1.157,0.616,qval=0.7863,0.483,0.535,,,,,,,,,,,
