ext_gene,flybase_gene_id,frequency_FC0.5_wake,frequency_FC1_wake,qualifies_FC0.5_4plus,qualifies_FC1_4plus,qualifying_thresholds,source_files,is_cycling_FC0.5_wake,ZT_cyclers_FC0.5_wake,sleep_corr_exps_FC0.5_wake,wake_corr_exps_FC0.5_wake,Baseline_FC0.5_wake,MechSD3_FC0.5_wake,MechSD6_FC0.5_wake,MechSD12_FC0.5_wake,R85C10>TrpA1_FC0.5_wake,R23E10>ChR_FC0.5_wake,THIP_FC0.5_wake,is_cycling_FC1_wake,ZT_cyclers_FC1_wake,sleep_corr_exps_FC1_wake,wake_corr_exps_FC1_wake,Baseline_FC1_wake,MechSD3_FC1_wake,MechSD6_FC1_wake,MechSD12_FC1_wake,R85C10>TrpA1_FC1_wake,R23E10>ChR_FC1_wake,THIP_FC1_wake
CG3740,FBgn0023530,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.188",0.658,0.868,0.575,qval=0.4435,qval=1.0,qval=1.0,,,,,,,,,,,
CG40439,FBgn0058439,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.535",0.76,1.741,0.94,qval=0.2834,qval=1.0,qval=1.0,,,,,,,,,,,
CG41128,FBgn0069923,4,4,TRUE,TRUE,FC0.5;FC1,FC0.5_Wake_frequency_4_n=82genes.csv;FC1_Wake_frequency_4_n=7genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.699",1.057,1.768,1.216,qval=0.095,qval=0.9905,qval=1.0,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.699",1.057,1.768,1.216,qval=0.095,qval=0.9905,qval=1.0
CG4390,FBgn0038771,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.097",0.617,1.043,0.628,qval=0.624,qval=0.0602,qval=0.7803,,,,,,,,,,,
CG7630,FBgn0040793,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.196",0.873,0.914,0.823,qval=0.8377,qval=0.2251,qval=1.0,,,,,,,,,,,
CG8993,FBgn0035334,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.182",0.804,0.928,0.701,qval=0.5311,0.407,qval=1.0,,,,,,,,,,,
CG9034,FBgn0040931,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.267",1.065,1.199,0.775,qval=0.7572,qval=0.1475,qval=0.83,,,,,,,,,,,
CG9065,FBgn0030610,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.719",0.51,0.722,0.526,qval=0.6543,qval=0.0869,qval=0.8461,,,,,,,,,,,
CG9231,FBgn0036887,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.752",0.519,0.766,0.532,qval=0.5609,qval=1.0,qval=0.7564,,,,,,,,,,,
COX5B,FBgn0031830,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.28",0.916,0.906,0.659,qval=0.624,qval=0.1887,qval=0.911,,,,,,,,,,,
COX8,FBgn0263911,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.617",1.085,1.421,0.954,qval=0.9909,qval=0.3585,qval=1.0,,,,,,,,,,,
HINT1,FBgn0031459,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
THIP","Peak=20, log2b=0.959",0.598,0.986,0.364,qval=0.5759,qval=0.1824,0.514,,,,,,,,,,,
MagR,FBgn0026666,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.858",0.683,0.679,0.595,qval=0.4097,0.331,qval=1.0,,,,,,,,,,,
Mccc1,FBgn0039877,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=16, log2b=0.946",0.667,0.845,0.71,qval=0.8932,qval=0.9186,qval=0.5328,,,,,,,,,,,
MrgBP,FBgn0033341,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR","Peak=20, log2b=0.945, qval=0.0997",0.676,0.721,0.519,qval=0.4972,0.621,qval=1.0,,,,,,,,,,,
MtnA,FBgn0002868,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
THIP","Peak=20, log2b=1.674, qval=0.2248",1.037,1.396,0.94,qval=0.5979,qval=0.0672,0.611,,,,,,,,,,,
ND-18,FBgn0031021,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.97",0.685,0.691,0.511,qval=0.5021,qval=0.1001,qval=0.7627,,,,,,,,,,,
ND-ACP,FBgn0011361,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.067",0.764,0.824,0.571,qval=0.1938,qval=1.0,qval=1.0,,,,,,,,,,,
ND-B12,FBgn0034645,4,4,TRUE,TRUE,FC0.5;FC1,FC0.5_Wake_frequency_4_n=82genes.csv;FC1_Wake_frequency_4_n=7genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.348",1.146,1.168,1.001,qval=0.5363,0.411,qval=0.9528,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.348",1.146,1.168,1.001,qval=0.5363,0.411,qval=0.9528
ND-B15,FBgn0033961,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.58",1.083,1.424,0.871,qval=0.669,qval=0.0829,qval=1.0,,,,,,,,,,,
ND-MLRQ,FBgn0052230,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.384",0.861,1.441,0.927,qval=0.8104,qval=0.9899,qval=0.9362,,,,,,,,,,,
Neb-cGP,FBgn0083167,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.023",0.731,1,0.641,qval=0.8584,qval=0.9004,qval=0.8716,,,,,,,,,,,
Pfdn4,FBgn0035603,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.32",0.893,1.205,0.84,qval=0.2639,qval=0.1786,qval=0.8822,,,,,,,,,,,
Pomp,FBgn0032884,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.051",0.779,1.085,0.744,qval=0.3904,qval=1.0,qval=0.9314,,,,,,,,,,,
